gene,SYMBOL,GENENAME
AT1G01010,ANAC001|NAC001|NTL10,
AT1G01020,ARV1,
AT1G01030,NGA3,
AT1G01040,ASU1|ATDCL1|CAF|DCL1|EMB60|EMB76|SIN1|SUS1,"Encodes a Dicer homolog. Dicer is a RNA helicase involved in microRNA processing. Mutations in this locus can result in embryo lethality. Embryo shape at seed maturity is globular-elongate. Other mutants convert the floral meristems to an indeterminate state, others yet show defects in ovule development. mRNA is expressed in all shoot tissues. DCL1 is able to produce miRNAs and siRNAs."
AT1G01046,,
AT1G01050,AtPPa1|PPa1,Encodes a soluble protein with inorganic pyrophosphatase activity that is highly specific for Mg-inorganic pyrophosphate.
AT1G01060,LHY|LHY1,LHY encodes a myb-related putative transcription factor involved in circadian rhythm along with another myb transcription factor CCA1
AT1G01070,UMAMIT28,
AT1G01080,CP28B,
AT1G01090,PDH-E1,pyruvate dehydrogenase E1 alpha subunit
AT1G01100,P1w|RPP1.1|RPP1A,
AT1G01110,IQD18,
AT1G01120,KCS1,Encodes a condensing enzyme KCS1 (3-ketoacyl-CoA synthase 1) which is involved in the critical fatty acid elongation process in wax biosynthesis.
AT1G01130,,
AT1G01140,CIPK9|PKS6|SnRK3.12,Encodes a CBL-interacting protein kinase with similarity to SOS2
AT1G01150,,
AT1G01160,GIF2,Arabidopsis thaliana GRF1-interacting factor 2 (GIF2) mRNA
AT1G01170,,
AT1G01180,,
AT1G01190,CYP78A8,member of CYP78A
AT1G01200,ATRAB-A3|ATRABA3|RABA3,
AT1G01210,,
AT1G01220,AtFKGP|FKGP,Encodes a bifunctional enzyme that has both L-fucokinase and GDP-L-fucose pyrophosphorylase activities. It catalyzes the two steps of the L-fucose salvage pathway for the generation of activated GDP-L-fucose. This pathway seems to be of minor importance for cell wall polysaccharide biosynthesis compared to the de novo GDP-L-fucose biosynthesis pathway in Arabidopsis.
AT1G01225,,
AT1G01230,AtORM1|ORM1,
AT1G01240,,
AT1G01250,,encodes a member of the DREB subfamily A-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 17 members in this subfamily including TINY.
AT1G01260,bHLH013|bHLH13|JAM2,
AT1G01290,CNX3,"COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 3. Encodes a protein involved in molybdenum cofactor biosynthesis. Homologous to E.coli MoaC. Expression is low in all tissues examined, except in roots. Appears to have targeting signals for chloroplast or mitochondria"
AT1G01300,,
AT1G01310,,
AT1G01320,FLL2|REC1,
AT1G01340,ACBK1|ATCNGC10|CNGC10,member of Cyclic nucleotide gated channel family
AT1G01350,,
AT1G01355,,
AT1G01360,PYL9|RCAR1,Encodes RCAR1 (regulatory components of ABA receptor).  Interacts with and regulates the type 2C protein phosphatases (PP2Cs) ABI1 and ABI2.  Functions as abscisic acid sensor.
AT1G01370,CENH3|HTR12,Encodes a centromere-identifying  protein histone H3 variant. Localized at centromeres in both mitotic and  meiotic cells.
AT1G01380,ETC1,ETC1 is involved in trichome and root  hair patterning in Arabidopsis.
AT1G01390,,
AT1G01420,UGT72B3,
AT1G01430,MOAT3|TBL25,"Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication)."
AT1G01440,,
AT1G01448,,
AT1G01450,MLKL3,
AT1G01470,AtLEA14|LEA1|LEA14|LSR3,Encodes late-embryogenesis abundant protein whose mRNA levels are induced in response to wounding and light stress. Might be involved in protection against dessication.
AT1G01480,ACS2|AT-ACC2,"a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family,  isolated from a flower-specific cDNA library."
AT1G01490,AtHMP01,
AT1G01500,,
AT1G01510,AN|DOQ,Encodes a homolog of human CtBP.  Mutant has longer and thicker leaves than wild type. Involved in controlling polar cell expansion in the leaf width direction.
AT1G01520,ASG4|REV3,
AT1G01530,AGL28,
AT1G01540,,
AT1G01550,BPS1,"BYPASS1, required to prevent constitutive production of a root-derived graft-transmissible signal"
AT1G01560,ATMPK11|MPK11,member of MAP Kinase
AT1G01570,,
AT1G01580,ATFRO2|FRD1|FRO2,"Encodes the low-iron-inducible ferric chelate reductase responsible for reduction of iron at the root surface.  It is likely to be the major Fe(III) chelate reductase in Arabidopsis iron metabolism.  Coordinately regulated with IRT1, the major transporter responsible for high-affinity iron uptake from the soil, at both transcriptional and posttranscriptional levels. Steady state mRNA levels are regulated by several metals.  Its transcription is regulated by FIT1."
AT1G01590,ATFRO1|FRO1,Encodes a ferric-chelate reductase that is expressed at extremely low levels in Fe deficiency-induced seedlings.
AT1G01600,CYP86A4,Encodes a member of the CYP86A subfamily of cytochrome p450 genes. Expressed significantly at highest level in mature stems and flowers.
AT1G01610,ATGPAT4|GPAT4,Encodes a protein with glycerol-3-phosphate acyltransferase activity. Involved in cutin assembly. Is functional redundant of GPAT8.
AT1G01620,PIP1;3|PIP1C|TMP-B,a member of the plasma membrane intrinsic protein subfamily PIP1. localizes to the plasma membrane and exhibits water transport activity in Xenopus oocyte. expressed ubiquitously and protein level decreases slightly during leaf development.
AT1G01630,,
AT1G01640,,"Putative role in flower development.  Comparison of SALK_011721C to Columbia wild type resulted in a trend toward earlier flowering in the mutant (P=0.1) (Stapleton and Woodruff 2009, personal communication)."
AT1G01650,ATSPPL4|SPPL4,
AT1G01660,PUB55,
AT1G01670,PUB56,
AT1G01680,ATPUB54|PUB54,
AT1G01690,ATPRD3|MER2|PRD3,Encodes a novel plant-specific protein that is involved in meiotic double strand break formation.
AT1G01695,TRM33,
AT1G01700,ATROPGEF2|ROPGEF2,"Encodes a member of KPP-like gene family, homolog of KPP (kinase partner protein) gene in tomato.  Also a member of the RopGEF (guanine nucleotide exchange factor) family, containing the novel PRONE domain (plant-specific Rop nucleotide exchanger), which is exclusively active towards members of the Rop subfamily."
AT1G01710,,
AT1G01715,,
AT1G01720,ANAC002|ANAC2|ATAF1,Belongs to a large family of putative transcriptional activators with NAC domain. Transcript level increases in response to wounding and abscisic acid. ATAF1 attentuates ABA signaling and sythesis. Mutants are hyposensitive to ABA.
AT1G01725,,
AT1G01730,,
AT1G01740,BSK4,
AT1G01750,ADF11,
AT1G01760,AtTAD1|TAD1,
AT1G01770,,
AT1G01780,PLIM2b,
AT1G01790,ATKEA1|KEA1,K efflux antiporter KEA1
AT1G01800,,
AT1G01810,,
AT1G01820,PEX11C,"member of the peroxin11 (PEX11) gene family, integral to peroxisome membrane, controls peroxisome proliferation."
AT1G01830,,
AT1G01840,,
AT1G01860,PFC1,dimethyladenosine transferase
AT1G01880,AtGEN1|GEN1,
AT1G01900,ATSBT1.1|SBTI1.1,"Encodes AtSBT1.1, a subtilisin-like serine protease.  Cleaves the phytosulfokine AtPSK4, a growth promoting peptide."
AT1G01910,AtGET3a|GET3a,
AT1G01920,,
AT1G01930,,
AT1G01940,CYP18-1,
AT1G01950,ARK2|AtKINUb,Encodes a member of the armadillo/beta-catenin repeat kinesin motor family. Mutants have twisted roots due to abnormal cell file rotation; the phenotype is dependent on microtubules.
AT1G01960,BIG3|EDA10,
AT1G01970,,
AT1G01980,AtBBE1|OGOX4,member of Reticuline oxidase-like family
AT1G01990,,
AT1G02000,GAE2,UDP-D-glucuronate 4-epimerase
AT1G02010,SEC1A,member of KEULE Gene Family
AT1G02020,,
AT1G02030,,
AT1G02050,LAP6|PKSA,
AT1G02060,,
AT1G02065,SPL8,"Encodes an SBP-box gene, a member of the SPL gene family. Mutants are affected in micro- and megasporogenesis, trichome formation on sepals, and stamen filament elongation."
AT1G02070,,
AT1G02080,NOT1,
AT1G02090,ATCSN7|COP15|CSN7|FUS5,encodes a phosphoprotein that is a subunit of the COP9 signalosome. Mutants exhibit constitutive photomorphogenic phenotype.
AT1G02100,LCMT1|SBI1,
AT1G02110,,
AT1G02120,VAD1,"Encodes VAD1 (Vascular Associated Death1), a regulator of cell death and defense responses in vascular tissues.  VAD1 is a putative membrane associated protein and contains a GRAM domain.  vad1 is a lesion mimic mutant that exhibits light conditional appearance of propagative HR (hypersensitive response)-like lesions along the vascular system."
AT1G02130,ARA-5|ARA5|ATRAB1B|ATRABD2A|RA-5|RABD2A,Belongs to the Rab1 GTPase subfamily. This small GTP-binding protein is required in ER to Golgi transportation.
AT1G02140,HAP1|MAGO|MEE63,
AT1G02145,ALG12|EBS4|SBI2,
AT1G02150,CCR16,
AT1G02160,,
AT1G02170,ATMC1|AtMCP1b|ATMCPB1|LOL3|MC1|MCP1b,Metacaspase AtMCP1b. Arginine/lysine-specific cysteine protease activity. Induces apoptosis in yeast. Contains Pfam profile PF00656: ICE-like protease (caspase) p20 domain
AT1G02180,,
AT1G02190,CER1-L1,
AT1G02205,CER1|CER22,"Expression of the CER1 gene associated with production of stem epicuticular wax and pollen fertility. Biochemical studies showed that cer1 mutants are blocked in the conversion of stem wax C30 aldehydes to C29 alkanes, and they also lack the secondary alcohols and ketones. These suggested the CER1 protein is an aldehyde decarbonylase, but the exact molecular function of this protein remains to be determined."
AT1G02220,ANAC003|NAC003|XVP,
AT1G02230,ANAC004|NAC004,
AT1G02250,anac005|NAC005,
AT1G02260,,
AT1G02270,,
AT1G02280,ATTOC33|PPI1|TOC33,Encodes a GTP-binding GTP-ase. Component of the chloroplast protein import machinery. Required for import of POR B into plastids. Toc33 phosphorylation may not play an important role in vivo.
AT1G02290,NFRKB3,
AT1G02300,AtcathB1,
AT1G02305,AtcathB2,
AT1G02310,MAN1,
AT1G02330,CSU2,
AT1G02335,GL22|PDGLP2,
AT1G02340,FBI1|HFR1|REP1|RSF1,"Encodes a light-inducible, nuclear bHLH protein involved in phytochrome signaling. Mutants exhibit a long-hypocotyl phenotype only under far-red light but not under red light and are defective in other phytochrome A-related responses. Mutants also show blue light response defects. HFR1 interacts with COP1, co-localizes to the nuclear specks and is ubiquinated by COP1."
AT1G02350,,
AT1G02360,,
AT1G02370,,
AT1G02380,,
AT1G02390,ATGPAT2|GPAT2,Encodes a member of a family of proteins with glycerol-3-phosphate acyltransferase activity.
AT1G02400,ATGA2OX4|ATGA2OX6|DTA1|GA2OX6,Encodes a gibberellin 2-oxidase that acts on C19 gibberellins but not C20 gibberellins.
AT1G02405,,
AT1G02410,COX11,
AT1G02420,,
AT1G02430,ARFD1B|ARL3|ATARFD1B,"A member of ARF GTPase family. A thaliana has 21 members of this family, known to be essential for vesicle coating and uncoating and functions in GTP-binding. Gene encoding ADP-ribosylation factor and similar to other ARFs and ARF-like proteins."
AT1G02440,ARFD1A|ARL4|ATARFD1A,"A member of ARF GTPase family. A thaliana has 21 members of this family, known to be essential for vesicle coating and uncoating and functions in GTP-binding. Gene encoding ADP-ribosylation factor and similar to other ARFs and ARF-like proteins."
AT1G02450,NIMIN-1|NIMIN1,"NIMIN1 modulates PR gene expression according the following model: NPR1 forms a ternary complex with NIMIN1 and TGA  factors upon SAR induction that binds to a positive regulatory cis-element of the PR-1 promoter, termed LS7. This leads to PR-1 gene induction. NIMIN1 decreases transcriptional activation, possibly through its EAR motif, which results in fine-tuning of PR-1 gene expression."
AT1G02460,,
AT1G02470,,
AT1G02475,,
AT1G02490,,
AT1G02500,AtSAM1|MAT1|METK1|SAM-1|SAM1,encodes a S-adenosylmethionine synthetase. SAM1 is regulated by protein S-nitrosylation. The covalent binding of nitric oxide (NO) to the Cys114 residue inhibits the enzyme activity.
AT1G02520,ABCB11|MDR8|PGP11,
AT1G02530,ABCB12|PGP12,
AT1G02540,,
AT1G02560,CLPP5|NCLPP1|NCLPP5,One of several nuclear-encoded ClpPs (caseinolytic protease). Contains a highly conserved catalytic triad of Ser-type proteases (Ser-His-Asp). The name reflects nomenclature described in Adam et. al (2001).
AT1G02580,EMB173|FIS1|MEA|SDG5,"Encodes a putative transcription factor MEDEA (MEA) that negatively regulates seed development in the absence of fertilization. Mutations in this locus result in embryo lethality.  MEA is a Polycomb group gene that is imprinted in the endosperm.  The maternal allele is expressed and the paternal allele is silent.  MEA is controlled by DEMETER (DME), a DNA glycosylase required to activate MEA expression, and METHYLTRANSFERASE I (MET1), which maintains CG methylation at the MEA locus. MEA is  involved in the negative regulation of its own imprinted gene expression; the effect is not only allele-specific but also  dynamically regulated during seed development. In the ovule, the MEA transcripts  are accumulated at their highest level before fertilization  and gradually decrease after fertilization"
AT1G02610,,
AT1G02620,,
AT1G02630,,
AT1G02640,ATBXL2|BXL2,encodes a protein similar to a beta-xylosidase located in the extracellular matrix. This is a member of glycosyl hydrolase family 3 and has six other closely related members.
AT1G02650,,
AT1G02660,PLIP2,
AT1G02670,,
AT1G02680,TAF13,
AT1G02690,IMPA-6,Putative importin alpha isoform. When overexpressed can rescue the impa-4 decreased transformation susceptibility phenotype.
AT1G02700,,
AT1G02705,,
AT1G02720,AtGATL5|GATL5,Encodes a protein with  putative galacturonosyltransferase activity.
AT1G02730,ATCSLD5|CSLD5|SOS6,"Encodes a gene similar to cellulose synthase. Knock-out mutant has reduced growth, reduced xylan level and reduced xylan synthase activity in stems."
AT1G02740,MRG2,
AT1G02750,DiL-2,
AT1G02770,,
AT1G02780,eL19x|emb2386,
AT1G02790,PG45|PGA4,encodes a exopolygalacturonase.
AT1G02800,ATCEL2|CEL2,"Encodes a protein with similarity to endo-1,4-b-glucanases and is a   member of Glycoside Hydrolase Family 9. CEL2 is induced by nemotodes and is expressed in syncitia induced by  Heterodera schachtii.May be involved in the development and function of syncitia."
AT1G02810,PMEI-PME7,
AT1G02816,,
AT1G02820,AtLEA3|LEA2|LEA3,
AT1G02840,At-SR34|ATSRP34|SR1|SR34|SRP34,SR1 is a plant homologue of the human general/alternative splicing factor SF2/ASF.
AT1G02850,BGLU11,
AT1G02860,BAH1|NLA|SYG1,Encodes a likely ubiquitin E3 ligase with RING and SPX domains that is involved in mediating immune responses.  Targeted by MIR827.
AT1G02870,,
AT1G02880,TPK1,Encodes a thiamine pyrophosphokinase capable of producing thiamine pyrophosphate from free thiamine.
AT1G02890,,
AT1G02900,ATRALF1|RALF1|RALFL1,"Member of a diversely expressed predicted peptide family showing sequence similarity to tobacco Rapid Alkalinization Factor (RALF), and is believed to play an essential role in the physiology of Arabidopsis.  Consists of a single exon and is characterized by a conserved C-terminal motif and N-terminal signal peptide. Mediates  Ca2+-dependent signaling."
AT1G02910,LPA1,"Mutants defective in this gene were shown to have a reduced PSII content (overall reduction in the levels of several PSII subunits) and a disrupted grana stack structure. The N-terminal half of the protein contains two tetratricopeptide repeat (TPR) motifs that are arranged tandemly, each consisting of a 34-residue degenerate consensus sequence. The  N-terminal sequence is rich in positive and hydroxylated amino acid residues."
AT1G02920,ATGST11|ATGSTF7|ATGSTF8|GST11|GSTF7,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).
AT1G02930,ATGST1|ATGSTF3|ATGSTF6|ERD11|GST1|GSTF6,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).
AT1G02940,ATGSTF5|GSTF5,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).
AT1G02950,ATGSTF4|GST31|GSTF4,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).
AT1G02960,,
AT1G02970,ATWEE1|WEE1,Protein kinase that negatively regulates the entry into mitosis.
AT1G02980,ATCUL2|CUL2,encodes an Arabidopsis cullin
AT1G02990,,
AT1G03000,PEX6,"Encodes an apparent ATPase similar to yeast and human protein required for peroxisomal biogenesis.  May facilitate recycling of PEX5, the peroxisomal matrix protein receptor, and thereby promote peroxisomal matrix protein import."
AT1G03010,,
AT1G03020,GRXS1|ROXY16,
AT1G03030,,
AT1G03040,bHLH007|PFB2,
AT1G03050,PICALM5A,
AT1G03055,AtD27|D27,
AT1G03060,BCHA1|SPI,Encodes a WD/BEACH domain protein involved in cell morphogenesis.
AT1G03070,AtLFG4|LFG4,
AT1G03080,NET1D,
AT1G03090,MCCA,"MCCA is the biotinylated subunit of the dimer MCCase, which is involved in leucine degradation. Both subunits are nuclear coded and the active enzyme is located in the mitochondrion."
AT1G03100,,
AT1G03106,,
AT1G03110,AtTRM82|TRM82,
AT1G03120,RAB28,Atrab28 plays a role in the ion cell balance during late embryogenesis and germination.
AT1G03130,PSAD-2,Encodes a protein predicted by sequence similarity with spinach PsaD to be photosystem I reaction center subunit II (PsaD2)
AT1G03140,PRP18a,
AT1G03150,NAA20,
AT1G03160,FZL,"A new plant-specific member of the dynamin superfamily; defines a new protein class within the dynamin superfamily of membrane remodeling GTPases that regulates organization of the thylakoid network in plants. Targeted to chloroplasts and associated with thylakoid and envelope membranes as punctate structures. Knockout mutants have abnormalities in chloroplast and thylakoid morphology, including disorganized grana stacks and alterations in the relative proportions of grana and stroma thylakoids. Overexpression of FZL-GFP also conferred defects in thylakoid organization."
AT1G03165,,
AT1G03170,FAF2|FTM5,
AT1G03180,COMET,
AT1G03190,ATXPD|UVH6,UV damage and heat induce a common stress response in plants that leads to tissue death and reduced chloroplast function. The UVH6 product is suggested to be a negative regulator of this response.
AT1G03200,,
AT1G03210,,
AT1G03220,SAP2,
AT1G03230,SAP1,
AT1G03240,,
AT1G03250,,
AT1G03260,,
AT1G03270,,
AT1G03280,,
AT1G03290,,
AT1G03300,ATDUF1|DUF1,Member of the plant-specific DUF724 protein family. Arabidopsis has 10 DUF724 proteins. Loss of function mutant has a WT phenotype
AT1G03310,AtBE2|ATISA2|BE2|DBE1|ISA2,Encodes a protein with strong similarity to isoamylase (EC:3.2.1.68) however lacks critical residues known to be important for activity. Appears to co localize with ISA1 in the chloroplast isoamylase complex.  Mutations in this gene cause the loss of detectable isoamylase activity and the disruption of normal starch structure. It has been postulated that AtISA2 interacts with AtISA1 to form the Iso1 complex.
AT1G03320,,
AT1G03330,LSM2,
AT1G03340,,
AT1G03350,,
AT1G03360,ATRRP4|RRP4|SOP2,
AT1G03365,,
AT1G03370,,
AT1G03380,ATATG18G|ATG18G,
AT1G03400,,"A single copy gene that encodes a protein with sequence similarity to tomato E8 (ACC oxidase, the last step in ethylene biosynthesis) involved in ethylene synthesis and fruit ripening in tomato. This gene is not induced by ethylene in siliques. The transcript is found in siliques, etiolated seedlings, leaves, stems and flowers."
AT1G03410,2A6,
AT1G03430,AHP5,"Encodes AHP5, one of the six Arabidopsis thaliana histidine phosphotransfer proteins (AHPs).  AHPs function as redundant positive regulators of cytokinin signaling.  Members of the AHP gene family include: AT3G21510 (AHP1), AT3G29350 (AHP2), AT5G39340 (AHP3), AT3G16360 (AHP4), AT1G03430 (AHP5) and AT1G80100 (AHP6)."
AT1G03440,,
AT1G03445,BSU1,"encodes a serinethreonine protein phosphatase with an N-terminal Kelch-repeat domain, which is nuclear localized and expressed preferentially in elongating cells. Genetic evidence suggest that this gene plays a redundant role (along with other members of the same gene family) in modulating growth in response to brassinosteroid."
AT1G03457,AtBRN2|BRN2,
AT1G03470,NET3A,
AT1G03475,ATCPO-I|HEMF1|LIN2,"Encodes coproporphyrinogen III oxidase, a key enzyme in the biosynthetic pathway of chlorophyll and heme, a tetrapyrrole pathway. Mutants express cytological and molecular markers associated with the defense responses, usually activated by pathogen infection."
AT1G03495,,
AT1G03510,,
AT1G03520,,
AT1G03530,ATNAF1|NAF1,
AT1G03540,,
AT1G03545,,
AT1G03550,AtSCAMP4|SCAMP4,
AT1G03560,,
AT1G03590,,
AT1G03600,PSB27,
AT1G03610,,
AT1G03620,ELMOD_F,
AT1G03630,POR|PORC,Encodes for a protein with protochlorophyllide oxidoreductase activity. The enzyme is NADPH- and light-dependent.
AT1G03650,,
AT1G03660,,
AT1G03670,,
AT1G03680,ATHM1|ATM1|THM1|TRX-M1,encodes a chloroplast thioredoxin similar to prokaryotic thioredoxins.
AT1G03687,,
AT1G03700,CASPL1C2,
AT1G03710,,
AT1G03730,,
AT1G03740,,
AT1G03750,CHR9,
AT1G03760,SARL|URI,
AT1G03770,ATRING1B|RING1B,"Encodes a nuclear localized protein with similarity to animal polycomb repressive core complex1 (PRC1) core component RING.Appears to function redundantly with ATRING1a, a close paralog. Both interact physically with CLF and LHP1 and appear to function together to repress class I KNOX gene expression."
AT1G03780,AtTPX2|TPX2,"Homolog of vertebrate TPX2. Protein has three domains involved in nuclear targeting, one in nuclear export and two in microtubule binding. Involved in mitotic spindle assembly during late prophase and early prometaphase."
AT1G03790,AtC3H2|AtTZF4|SOM|TZF4,"Encodes SOMNUS (SOM), a nucleus-localized CCCH-type zinc finger protein.  SOM negatively regulates light-dependent seed germination downstream of PIL5 (AT2G20180)."
AT1G03800,ATERF10|ERF10,"encodes a member of the ERF (ethylene response factor) subfamily B-1 of ERF/AP2 transcription factor family (ATERF-10). The protein contains one AP2 domain. There are 15 members in this subfamily including ATERF-3, ATERF-4, ATERF-7, and leafy petiole."
AT1G03820,,
AT1G03830,GBPL1,
AT1G03840,IDD3|MGP,"MGP is a nuclear-localized putative transcription factor with three zinc finger domains. MGP can interact with three proteins implicated in root patterning: SCR, SHR, and JKD in Y2H assays, and these interactions depend on the first zinc finger in MGP. MGP appears to be a direct transcriptional target of SHR and SCR, based on promoter binding assays, though it is not expressed in the QC, based on in situ hybridizations."
AT1G03850,ATGRXS13|GRXS13|ROXY18,
AT1G03860,ATPHB2|PHB2,prohibitin 2
AT1G03870,FLA9,fasciclin-like arabinogalactan-protein 9 (Fla9)
AT1G03900,ABCI18|ATNAP4|NAP4,"member of NAP family, an heterogeneous subfamily of the ATP-binding Cassette (ABC) superfamily of membrane transporters. The NAPs proteins are characterized by having only one nucleotide-binding folds (NBFs) domain."
AT1G03905,ABCI19|ATNAP4,
AT1G03910,CTN,
AT1G03920,NDR2,
AT1G03930,ADK1|CKL9ALPHA|CKL9BETA,"Phosphorylates serine, threonine, and tyrosine"
AT1G03940,,
AT1G03950,VPS2.3,
AT1G03960,,
AT1G03970,GBF4,encodes a basic leucine zipper G-box binding factor that can bind to G-box motifs only as heterodimers with GBF2 or GBF3. A single amino acid change can confer G-box binding as homodimers.
AT1G03980,ATPCS2|PCS2,"Encodes a protein with phytochelatin synthase activity which binds Cd2+ and Cd-glutathione complexes with high affinity. The protein has been postulated to be involved in Cd2+ tolerance. AtPCS2 expression appears to be less than that of AtPCS1, explaining the inability of endogenous AtPCS2 to substitute for AtPCS1 in the cad1-3 mutant (AtPCS1 null)."
AT1G03990,,
