sample,method,analyte,value,unit,uncertainty_k2,reference
Chang'e-5 lunar soil,XRF,SiO2,42.2,wt%,0.34,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,XRF,TiO2,5.0,wt%,0.06,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,XRF,Al2O3,10.8,wt%,0.18,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,XRF,FeO,22.5,wt%,0.33,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,XRF,MnO,0.28,wt%,0.03,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,XRF,MgO,6.48,wt%,0.35,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,XRF,CaO,11.0,wt%,0.1,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,XRF,Na2O,0.26,wt%,0.21,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,XRF,K2O,0.19,wt%,0.15,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,XRF,P2O5,0.23,wt%,0.05,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Na,3420.0,ppm,205.0,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Mg,38600.0,ppm,2470.0,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Al,57300.0,ppm,2600.0,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,K,1510.0,ppm,151.0,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Ca,74500.0,ppm,4800.0,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Sc,66.0,ppm,2.6,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Ti,31100.0,ppm,1600.0,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,V,95.8,ppm,8.0,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Cr,1410.0,ppm,56.4,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Mn,2150.0,ppm,86.0,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Fe,174000.0,ppm,7000.0,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Co,40.0,ppm,1.6,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Ni,136.0,ppm,11.0,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Zn,16.2,ppm,3.2,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Rb,7.47,ppm,1.49,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Zr,458.0,ppm,34.0,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,La,36.1,ppm,1.4,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Cs,0.169,ppm,0.038,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Ce,92.8,ppm,3.7,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Pr,12.5,ppm,2.22,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Sm,16.1,ppm,0.6,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Eu,2.56,ppm,0.1,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Gd,18.9,ppm,0.77,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Tb,3.51,ppm,0.28,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Dy,20.9,ppm,1.4,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Ho,4.5,ppm,1.4,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Lu,1.41,ppm,0.08,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Ta,1.77,ppm,0.18,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,Th,4.72,ppm,0.28,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
Chang'e-5 lunar soil,INAA,U,1.41,ppm,0.28,https://academic.oup.com/nsr/article/9/2/nwab188/6397035
