oxide,wt_pct,simulant,source
SiO2,51.2,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
TiO2,0.6,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
Al2O3,26.6,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
FeO,2.7,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
MnO,0.1,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
MgO,1.6,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
CaO,12.8,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
Na2O,2.9,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
K2O,0.5,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
P2O5,0.1,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
LOI*,0.4,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
Total**,99.4,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
